職場の様子,休日休暇(月曜日),（派遣先）配属先部署　男女比　男,大手企業,交通費別途支給,（派遣先）配属先部署　人数,残業月20時間以上,職種コード,1日7時間以下勤務OK,短時間勤務OK(1日4h以内),駅から徒歩5分以内,学校・公的機関（官公庁）,土日祝のみ勤務,掲載期間　開始日,Wordのスキルを活かす,勤務地　最寄駅1（分）,派遣スタッフ活躍中,大量募集,Accessのスキルを活かす,休日休暇(火曜日),平日休みあり,休日休暇　備考,フラグオプション選択,期間・時間　勤務時間,期間・時間　勤務期間,派遣形態,週2・3日OK,勤務先公開,Excelのスキルを活かす,16時前退社OK,正社員登用あり,残業月20時間未満,勤務地　備考,英語力不要,拠点番号,休日休暇(日曜日),社員食堂あり,お仕事名,10時以降出社OK,期間・時間　勤務開始日,英語以外の語学力を活かす,休日休暇(祝日),外資系企業,服装自由,PowerPointのスキルを活かす,（派遣先）配属先部署,（派遣先）配属先部署　男女比　女,仕事内容,休日休暇(土曜日),休日休暇(木曜日),勤務地　最寄駅1（沿線名）,（派遣先）配属先部署　平均年齢,英語力を活かす,会社概要　業界コード,勤務地　都道府県コード,PCスキル不要,車通勤OK,制服あり,休日休暇(水曜日),仕事の仕方,勤務地　最寄駅1（駅からの交通手段）,応募資格,紹介予定派遣,シフト勤務,経験者優遇,週4日勤務,未経験OK,派遣会社のうれしい特典,土日祝休み,給与/交通費　交通費,掲載期間　終了日,休日休暇(金曜日),お仕事のポイント（仕事PR）,扶養控除内,給与/交通費　給与下限,オフィスが禁煙・分煙,勤務地　市区町村コード,（派遣先）職場の雰囲気,勤務地　最寄駅1（駅名）,給与/交通費　備考,残業なし
3,0,5.0,0,0,13.0,0,22030,0,0,1,1,0,0,1,3.0,0,0,0,0,0,1,0,129,5,0,0,0,1,0,0,0,49,1,2,1,0,3529,0,1,0,1,0,1,0,1543,5.0,3529,1,0,71,40.0,0,30000,14,0,0,0,0,3,1.0,20,0,0,1,0,1,0,1,3,0,0,3515,0,1550,0,104,453,405,260400.0,1
3,0,5.0,0,0,13.0,0,22030,0,0,1,1,0,0,1,3.0,0,0,0,0,0,1,0,129,5,0,0,0,1,0,0,0,49,1,2,1,0,3529,0,1,0,1,0,1,0,1543,5.0,3529,1,0,71,40.0,0,30000,14,0,0,0,0,3,1.0,20,0,0,1,0,1,0,1,3,0,0,3515,0,1550,0,104,453,405,260400.0,1
4,0,6.0,0,0,7.0,1,20310,0,0,0,0,0,0,1,10.0,1,0,0,0,0,1,1,6,5,0,0,0,1,0,0,0,49,1,2,1,0,3530,0,1,0,1,0,1,0,1544,4.0,3530,1,0,71,33.0,0,26000,14,0,0,0,0,5,1.0,2133,0,0,1,0,1,0,1,3,0,0,3516,0,1750,1,104,24,739,294000.0,0
3,0,6.0,0,0,5.0,0,20030,0,0,0,0,0,0,1,7.0,0,0,0,0,0,1,1,12,5,1,0,0,1,0,1,0,44,1,1,1,0,3531,0,1,0,1,0,0,0,96,4.0,3531,1,0,86,45.0,0,27000,23,0,0,1,0,3,1.0,20,1,0,1,0,1,1,1,3,0,0,3517,0,1400,1,106,349,389,220500.0,1
3,0,4.0,0,0,7.0,0,20020,0,0,0,1,0,0,1,10.0,1,0,0,0,0,1,1,424,5,0,0,0,1,0,0,0,267,1,5,1,0,3532,0,25,0,1,0,1,0,1545,6.0,3532,1,0,99,42.0,0,30000,12,0,1,0,0,4,3.0,20,0,0,1,0,1,0,1,3,0,0,3518,0,1300,1,443,16,740,204750.0,1
3,0,5.0,0,1,12.0,0,20020,0,0,1,1,0,0,1,5.0,0,0,0,0,0,1,3,153,5,0,0,0,1,0,0,0,195,1,13,1,0,3533,0,1,0,1,0,1,0,1546,5.0,3533,1,0,112,40.0,0,30000,23,0,1,0,0,2,1.0,20,0,0,1,0,1,0,1,2,0,0,3519,0,1200,1,211,201,560,182700.0,1
3,0,9.0,1,1,10.0,0,20020,0,0,0,0,0,0,1,16.0,0,0,0,0,0,9,0,1347,5,0,0,0,1,0,0,0,188,1,1,1,1,3534,0,1,0,0,0,1,1,1547,1.0,3534,1,0,56,40.0,0,22000,23,0,1,0,0,1,1.0,20,0,0,1,0,1,1,1,2,0,0,3520,0,1400,1,210,299,741,235200.0,1
3,0,5.0,0,0,2.0,0,20020,0,0,1,0,0,0,1,1.0,1,0,0,0,1,56,1,49,5,1,0,0,1,0,1,0,68,1,2,0,0,3535,0,1,0,0,0,1,1,130,5.0,3535,0,0,70,52.0,0,29000,14,0,0,0,0,3,1.0,2134,1,1,1,0,1,0,0,3,0,0,3521,0,1400,1,205,299,742,235200.0,1
3,0,5.0,0,0,2.0,0,20020,0,0,1,0,0,0,1,1.0,1,0,0,0,1,56,1,49,5,1,0,0,1,0,1,0,68,1,2,0,0,3535,0,1,0,0,0,1,1,130,5.0,3535,0,0,70,52.0,0,29000,14,0,0,0,0,3,1.0,2134,1,1,1,0,1,0,0,3,0,0,3521,0,1400,1,205,299,742,235200.0,1
3,0,5.0,0,0,8.0,0,22020,0,0,0,0,0,0,1,30.0,0,0,0,0,0,1,0,134,5,0,0,0,1,0,0,0,203,1,2,1,0,3536,0,1,0,1,0,0,0,754,5.0,3536,1,0,56,40.0,0,30000,14,0,1,1,0,2,2.0,2135,0,0,1,0,1,0,1,3,0,0,3522,0,1500,1,115,14,366,252000.0,1
3,0,7.0,0,0,6.0,0,20030,1,0,0,0,0,0,1,5.0,0,0,0,0,0,1,1,875,5,1,0,0,1,0,1,0,268,1,40,1,0,3537,0,1,0,1,0,1,0,557,3.0,3537,1,0,19,40.0,0,28000,45,0,1,0,0,1,0.0,20,1,0,1,0,1,0,1,3,0,0,3523,0,1100,1,203,299,38,161700.0,1
3,0,9.0,1,0,10.0,0,20020,0,0,1,0,0,0,1,5.0,1,0,0,0,0,1,3,1169,5,0,0,0,1,0,0,1,51,1,3,1,0,3538,0,1,0,1,0,1,0,860,1.0,3538,1,0,59,40.0,0,21000,27,0,0,0,0,1,1.0,2136,0,0,1,0,1,0,1,3,0,0,3524,0,1600,1,128,454,123,252000.0,0
3,0,9.0,1,0,10.0,0,20020,0,0,1,0,0,0,1,5.0,1,0,0,0,0,1,3,1169,5,0,0,0,1,0,0,1,51,1,3,1,0,3538,0,1,0,1,0,1,0,860,1.0,3538,1,0,59,40.0,0,21000,27,0,0,0,0,1,1.0,2136,0,0,1,0,1,0,1,3,0,0,3524,0,1600,1,128,454,123,252000.0,0
3,0,5.0,1,1,4.0,0,20030,0,0,0,0,0,0,1,15.0,1,0,0,0,0,0,0,1348,5,0,0,1,1,0,0,0,269,1,2,1,1,3539,0,1,0,1,0,1,0,479,5.0,3539,1,0,3,40.0,0,22000,14,0,1,0,0,1,2.0,1819,0,0,1,0,1,0,1,2,0,0,3525,0,1400,1,218,455,453,235200.0,1
3,0,3.0,1,0,13.0,0,20030,1,0,0,0,0,0,1,8.0,0,0,0,0,0,1,2,1010,5,1,0,0,1,0,0,1,84,1,6,1,0,3540,0,1,0,1,0,1,0,153,7.0,3540,1,0,56,35.0,0,28000,28,0,0,0,0,5,1.0,2137,1,0,1,0,1,3,1,3,0,0,3526,0,1310,1,110,311,370,192570.0,0
3,0,5.0,0,0,8.0,0,20030,0,0,1,0,0,0,1,5.0,0,0,0,0,0,1,1,58,5,0,0,0,1,0,0,0,51,1,3,1,0,3541,0,1,0,1,0,1,0,81,5.0,3541,1,0,57,40.0,0,27000,27,0,0,0,0,1,1.0,20,0,0,1,0,1,0,1,3,0,0,3527,0,1600,1,128,299,347,260400.0,1
3,0,2.0,0,0,18.0,0,22010,0,0,0,1,0,0,1,15.0,0,0,0,0,0,1,3,666,5,0,0,0,1,0,0,0,157,0,3,1,0,3542,0,2,0,1,0,1,0,15,8.0,3542,1,0,183,40.0,1,30000,27,0,1,0,0,5,1.0,2138,0,0,1,0,1,0,1,3,0,0,3528,0,1260,1,205,351,743,235200.0,1
3,0,5.0,0,0,8.0,0,20020,1,0,0,1,0,0,1,7.0,1,0,0,0,0,1,1,533,5,0,0,0,1,0,0,0,70,1,10,1,0,3543,0,1,0,1,0,0,0,1548,5.0,3543,1,0,26,40.0,0,30000,11,0,0,1,0,3,1.0,1618,0,0,1,0,1,0,1,3,0,0,3529,0,1200,1,103,10,336,176400.0,1
3,0,5.0,0,0,8.0,0,20020,1,0,0,1,0,0,1,7.0,1,0,0,0,0,1,1,533,5,0,0,0,1,0,0,0,70,1,10,1,0,3543,0,1,0,1,0,0,0,1548,5.0,3543,1,0,26,40.0,0,30000,11,0,0,1,0,3,1.0,1618,0,0,1,0,1,0,1,3,0,0,3529,0,1200,1,103,10,336,176400.0,1
3,0,3.0,0,0,3.0,0,20020,0,0,1,0,0,0,1,3.0,0,0,1,0,0,1,1,126,5,0,0,0,1,0,0,0,131,1,10,1,1,3544,0,1,0,1,0,0,0,6,7.0,3544,1,0,29,39.0,0,22000,11,0,0,1,0,4,1.0,1618,0,0,1,0,1,0,1,3,0,0,3530,0,1500,1,105,42,737,236250.0,1
3,0,7.0,1,1,10.0,0,20030,0,0,1,0,0,0,1,3.0,0,0,0,0,0,1,0,12,5,0,0,0,1,0,0,0,45,0,2,1,0,3545,0,0,0,1,0,1,1,1549,3.0,3545,1,0,71,34.0,1,29000,14,0,0,0,0,1,1.0,2139,0,0,1,0,1,0,1,2,0,0,3531,0,1550,1,103,15,452,244125.0,1
3,0,7.0,0,0,10.0,0,20020,0,0,0,0,0,0,1,7.0,0,0,0,0,0,1,1,1349,5,0,0,0,1,0,0,1,270,1,5,1,0,3546,0,1,0,1,0,0,0,1550,3.0,3546,1,0,102,45.0,0,29000,12,0,1,0,0,1,1.0,2140,0,0,1,0,1,0,1,3,0,0,3532,0,1250,1,224,13,744,210000.0,0
3,0,4.0,0,0,5.0,0,22020,0,0,1,0,0,0,1,15.0,0,0,0,0,0,0,0,129,5,0,0,0,1,0,0,0,70,1,10,1,0,3547,0,1,0,1,0,1,1,92,6.0,3547,1,0,26,42.0,0,29200,11,0,0,0,0,5,1.0,1637,0,0,1,0,1,0,1,3,0,0,3533,0,1500,1,103,5,336,252000.0,1
2,0,2.0,0,0,5.0,0,22030,0,0,1,1,0,0,1,3.0,0,0,0,0,0,1,0,1350,5,0,0,0,1,0,0,0,44,1,1,1,0,3548,0,1,0,1,0,1,0,488,8.0,3548,1,0,95,42.0,0,30000,23,0,0,1,0,5,1.0,20,0,0,1,0,1,1,1,3,0,0,3534,0,1400,1,106,311,445,235200.0,1
2,0,2.0,0,0,5.0,0,22030,0,0,1,1,0,0,1,3.0,0,0,0,0,0,1,0,1350,5,0,0,0,1,0,0,0,44,1,1,1,0,3548,0,1,0,1,0,1,0,488,8.0,3548,1,0,95,42.0,0,30000,23,0,0,1,0,5,1.0,20,0,0,1,0,1,1,1,3,0,0,3534,0,1400,1,106,311,445,235200.0,1
3,0,7.0,0,0,12.0,0,20030,1,0,1,0,0,0,1,3.0,0,0,0,0,0,1,1,39,5,0,0,0,1,0,0,0,56,1,3,1,0,3549,1,1,0,1,0,1,0,834,3.0,3549,1,0,67,42.0,0,27000,27,0,0,0,0,4,1.0,1669,0,0,1,0,1,0,1,3,0,0,3535,0,1400,1,127,21,470,205800.0,1
3,0,6.0,0,0,45.0,0,20020,0,0,0,0,0,0,1,13.0,0,0,0,0,0,0,1,1351,5,0,0,0,1,0,0,1,134,1,3,1,1,3550,0,1,0,1,0,0,0,1551,4.0,3550,1,0,110,40.0,0,26000,27,0,0,1,0,1,1.0,20,0,0,1,0,1,0,1,3,0,0,3536,0,1400,1,203,53,745,235200.0,0
3,0,4.0,0,0,5.0,0,20020,0,0,1,0,0,0,1,5.0,1,0,0,0,1,344,3,77,5,1,0,0,1,0,1,0,53,1,5,0,0,3551,0,1,0,0,0,1,0,31,6.0,3551,0,0,6,45.0,0,29000,12,0,0,0,1,1,1.0,1618,1,0,1,0,1,0,0,3,0,0,3537,0,1300,1,204,34,376,235200.0,1
3,0,5.0,0,1,6.0,0,22030,0,0,0,0,0,0,1,17.0,0,0,0,0,0,345,3,1352,5,1,0,0,1,0,0,0,172,1,2,1,0,3552,0,1,0,1,0,0,1,1295,5.0,3552,1,0,46,43.0,0,22000,14,0,1,1,1,5,1.0,20,1,0,1,1,1,0,1,2,0,0,3538,0,1450,1,101,341,519,235200.0,1
3,0,1.0,0,0,7.0,0,20410,0,0,1,1,0,0,1,5.0,0,0,0,0,0,0,0,1353,5,0,0,0,1,0,0,1,271,1,2,1,1,3553,0,2,0,1,0,0,0,153,9.0,3553,1,0,118,36.0,0,30000,14,0,1,1,0,5,1.0,2141,0,0,1,0,1,0,1,3,0,0,3539,0,1500,1,362,313,746,236250.0,0
3,0,5.0,0,0,4.0,0,22020,0,0,0,0,0,0,1,20.0,0,0,0,0,0,0,0,290,5,0,0,0,1,0,0,1,215,1,10,1,0,3554,0,1,0,1,0,1,0,116,5.0,3554,1,0,27,40.0,0,27000,11,0,1,0,0,5,2.0,2142,0,0,1,0,1,0,1,3,0,0,3540,0,1550,1,212,23,601,260400.0,0
3,0,5.0,0,0,4.0,0,22020,0,0,0,0,0,0,1,20.0,0,0,0,0,0,0,0,290,5,0,0,0,1,0,0,1,215,1,10,1,0,3554,0,1,0,1,0,1,0,116,5.0,3554,1,0,27,40.0,0,27000,11,0,1,0,0,5,2.0,2142,0,0,1,0,1,0,1,3,0,0,3540,0,1550,1,212,23,601,260400.0,0
3,0,5.0,0,0,8.0,0,20020,0,0,1,0,0,0,1,5.0,0,0,0,0,0,1,1,327,5,0,0,0,1,0,0,0,92,1,5,1,0,3555,0,3,0,1,0,1,0,31,5.0,3555,1,0,28,40.0,0,29000,12,0,0,0,0,1,1.0,20,0,0,1,0,1,0,1,3,0,0,3541,0,1400,1,106,34,368,218050.0,1
3,0,5.0,0,0,8.0,0,20030,0,0,1,0,0,0,1,3.0,0,0,0,0,0,1,1,129,5,1,0,0,1,0,1,0,101,0,3,1,0,3556,0,1,0,1,0,0,0,317,5.0,3556,1,0,57,40.0,1,23000,27,0,0,1,0,1,1.0,2143,1,0,1,0,1,0,1,3,0,0,3542,0,1500,1,106,366,319,252000.0,1
3,0,5.0,0,0,8.0,0,20030,0,0,1,0,0,0,1,3.0,0,0,0,0,0,1,1,129,5,1,0,0,1,0,1,0,101,0,3,1,0,3556,0,1,0,1,0,0,0,317,5.0,3556,1,0,57,40.0,1,23000,27,0,0,1,0,1,1.0,2143,1,0,1,0,1,0,1,3,0,0,3542,0,1500,1,106,366,319,252000.0,1
3,0,9.0,0,1,8.0,0,20030,0,0,1,0,0,0,1,5.0,0,0,0,0,0,0,1,985,5,0,0,0,1,0,0,0,56,1,3,1,0,3557,0,1,0,1,0,0,0,96,1.0,3557,1,0,75,40.0,0,22000,27,0,0,1,0,2,1.0,1669,0,0,1,0,1,0,1,2,0,0,3543,0,1330,1,127,48,340,235200.0,1
2,0,8.0,1,1,120.0,0,20020,0,0,0,0,0,0,1,5.0,1,0,0,0,0,0,1,1354,5,0,0,0,1,0,0,0,172,1,2,1,1,3558,0,0,0,1,0,0,0,1552,2.0,3558,1,0,46,40.0,0,22000,14,0,0,1,0,5,2.0,2144,0,0,1,0,1,0,1,2,0,0,3544,0,1600,0,101,15,519,268800.0,1
3,0,5.0,0,0,4.0,0,22030,0,0,1,0,0,0,1,5.0,1,0,0,0,0,1,1,141,5,0,0,0,1,0,0,1,56,1,3,1,1,3559,0,1,0,1,0,1,0,10,5.0,3559,1,0,57,43.0,0,23000,27,0,0,0,0,4,1.0,20,0,0,1,0,1,0,1,3,0,0,3545,0,1360,1,127,5,347,214200.0,0
3,0,6.0,0,0,9.0,0,22020,0,0,1,0,0,0,1,2.0,1,0,0,0,0,1,1,514,5,1,0,0,1,0,1,0,51,1,3,1,0,3560,0,1,0,1,0,0,0,313,4.0,3560,1,0,67,40.0,0,22000,27,0,0,1,0,4,1.0,2145,1,0,1,0,1,0,1,3,0,0,3546,0,1300,1,128,340,470,235200.0,1
3,0,6.0,0,0,9.0,0,22020,0,0,1,0,0,0,1,2.0,1,0,0,0,0,1,1,514,5,1,0,0,1,0,1,0,51,1,3,1,0,3560,0,1,0,1,0,0,0,313,4.0,3560,1,0,67,40.0,0,22000,27,0,0,1,0,4,1.0,2145,1,0,1,0,1,0,1,3,0,0,3546,0,1300,1,128,340,470,235200.0,1
3,0,8.0,0,0,15.0,0,20020,1,0,0,0,0,0,1,10.0,0,0,0,0,0,1,1,1,5,1,0,0,1,0,0,0,204,1,26,1,0,3561,0,5,0,1,0,1,0,81,2.0,3561,1,0,184,40.0,0,28000,10,0,0,0,0,3,1.0,20,1,0,1,0,1,9,1,3,0,0,3547,0,1300,1,205,349,747,191100.0,1
3,0,7.0,0,1,8.0,0,20510,0,0,1,0,0,0,1,1.0,0,0,0,0,0,1,1,107,5,0,0,0,1,0,0,1,51,1,3,1,0,3562,0,1,0,1,0,1,1,1553,3.0,3562,1,0,62,45.0,0,28000,27,0,0,0,0,1,1.0,2146,0,0,1,0,1,0,1,2,0,0,3548,0,1400,1,128,5,447,220500.0,0
3,0,6.0,0,0,8.0,0,20020,0,0,0,1,0,0,1,15.0,0,0,0,0,0,1,1,126,5,0,0,0,1,0,0,0,272,1,4,1,0,3563,0,1,0,1,0,0,0,153,4.0,3563,1,0,166,40.0,0,30000,29,0,1,1,0,4,2.0,20,0,0,1,0,1,0,1,3,0,0,3549,0,1100,1,212,20,748,173250.0,1
3,0,6.0,0,0,8.0,0,20020,0,0,0,1,0,0,1,15.0,0,0,0,0,0,1,1,126,5,0,0,0,1,0,0,0,272,1,4,1,0,3563,0,1,0,1,0,0,0,153,4.0,3563,1,0,166,40.0,0,30000,29,0,1,1,0,4,2.0,20,0,0,1,0,1,0,1,3,0,0,3549,0,1100,1,212,20,748,173250.0,1
3,0,8.0,1,0,6.0,0,20020,1,0,0,0,0,0,1,15.0,0,0,0,0,0,346,2,1355,5,0,0,0,1,1,0,0,58,1,6,1,0,3564,1,1,0,1,0,1,0,768,2.0,3564,1,0,77,55.0,0,22000,28,0,0,0,0,2,1.0,20,0,0,1,1,1,0,1,3,0,1,3550,1,1250,1,101,20,749,235200.0,1
3,0,8.0,1,0,6.0,0,20020,1,0,0,0,0,0,1,15.0,0,0,0,0,0,346,2,1355,5,0,0,0,1,1,0,0,58,1,6,1,0,3564,1,1,0,1,0,1,0,768,2.0,3564,1,0,77,55.0,0,22000,28,0,0,0,0,2,1.0,20,0,0,1,1,1,0,1,3,0,1,3550,1,1250,1,101,20,749,235200.0,1
3,0,8.0,1,0,14.0,0,22020,0,0,1,0,0,0,1,15.0,0,0,0,0,0,1,1,3,5,0,0,0,1,0,0,0,54,1,5,1,0,3565,0,1,0,1,0,1,1,116,2.0,3565,1,0,5,42.0,0,29000,12,0,0,0,0,1,1.0,2147,0,0,1,0,1,0,1,3,0,0,3551,0,1300,1,101,8,355,209300.0,1
3,0,8.0,1,0,14.0,0,22020,0,0,1,0,0,0,1,15.0,0,0,0,0,0,1,1,3,5,0,0,0,1,0,0,0,54,1,5,1,0,3565,0,1,0,1,0,1,1,116,2.0,3565,1,0,5,42.0,0,29000,12,0,0,0,0,1,1.0,2147,0,0,1,0,1,0,1,3,0,0,3551,0,1300,1,101,8,355,209300.0,1
4,0,2.0,1,0,25.0,0,20710,0,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,1356,5,0,0,0,1,0,0,1,123,1,2,1,0,3566,0,1,0,1,0,1,0,1065,8.0,3566,1,0,3,32.0,0,26000,14,0,0,0,0,5,1.0,2148,0,0,1,0,1,0,1,3,0,0,3552,0,1350,1,137,337,424,226800.0,0
3,0,4.0,0,1,14.0,0,20310,0,0,0,0,0,0,1,20.0,1,0,0,0,0,1,3,12,5,1,0,0,1,0,1,0,107,1,9,1,0,3567,0,1,0,1,0,0,0,1554,6.0,3567,1,0,96,40.0,0,26000,26,0,0,1,0,5,1.0,20,1,0,1,0,1,3,1,2,0,0,3553,0,1300,1,109,456,750,204750.0,1
3,0,4.0,0,1,14.0,0,20310,0,0,0,0,0,0,1,20.0,1,0,0,0,0,1,3,12,5,1,0,0,1,0,1,0,107,1,9,1,0,3567,0,1,0,1,0,0,0,1554,6.0,3567,1,0,96,40.0,0,26000,26,0,0,1,0,5,1.0,20,1,0,1,0,1,3,1,2,0,0,3553,0,1300,1,109,456,750,204750.0,1
3,0,4.0,0,1,8.0,0,22020,1,0,1,0,0,0,1,2.0,1,0,0,0,0,1,1,1357,5,0,0,0,1,0,0,0,51,1,3,1,1,3568,0,1,0,1,0,0,0,1,6.0,3568,1,0,67,40.0,0,23000,27,0,0,1,0,4,1.0,20,0,0,1,0,1,0,1,2,0,0,3554,0,1400,1,128,457,349,205800.0,1
3,0,3.0,0,0,3.0,0,22030,0,0,0,0,0,0,1,20.0,0,0,0,0,0,1,3,996,5,1,0,0,1,0,1,0,67,1,8,1,0,3569,0,1,0,1,0,1,0,23,7.0,3569,1,0,66,35.0,0,23000,40,0,1,0,0,2,1.0,20,1,0,1,0,1,0,1,3,0,0,3555,0,1100,1,133,311,333,173250.0,1
3,0,5.0,0,0,4.0,0,20020,0,0,1,0,0,0,1,5.0,0,0,0,0,0,1,1,49,5,0,0,0,1,0,0,0,192,1,3,1,0,3570,0,1,0,1,0,1,1,1555,5.0,3570,1,0,145,40.0,0,26000,27,0,0,0,0,1,1.0,2149,0,0,1,0,1,0,1,3,0,0,3556,0,1400,1,213,14,751,235200.0,1
3,0,5.0,0,1,8.0,0,20320,0,0,0,0,0,0,1,6.0,0,0,0,0,0,1,2,49,5,0,0,0,1,0,0,0,62,0,6,1,0,3571,0,5,0,1,0,1,0,256,5.0,3571,1,0,68,40.0,1,22000,28,0,0,0,0,1,2.0,2150,0,0,1,0,1,3,1,2,0,0,3557,0,1600,1,111,46,353,268800.0,1
3,0,2.0,0,0,10.0,0,20020,0,0,0,1,0,0,1,20.0,0,0,0,0,0,1,1,129,5,1,0,0,1,0,1,0,273,1,31,1,0,3572,0,2,0,1,0,0,0,1556,8.0,3572,1,0,65,42.0,0,30000,33,0,0,1,0,3,1.0,1618,1,0,1,0,1,0,1,3,0,0,3558,0,1100,1,202,10,752,184800.0,1
3,0,10.0,1,0,5.0,0,20030,0,0,0,0,0,0,1,5.0,0,0,0,0,0,1,1,49,5,0,0,0,1,0,0,0,259,1,22,1,0,3573,0,1,0,1,0,1,0,339,0.0,3573,1,0,19,45.0,0,22000,9,0,1,0,0,1,0.0,2151,0,0,1,0,1,0,1,3,0,0,3559,0,1300,1,208,27,38,218400.0,1
3,0,10.0,1,0,5.0,0,20030,0,0,0,0,0,0,1,5.0,0,0,0,0,0,1,1,49,5,0,0,0,1,0,0,0,259,1,22,1,0,3573,0,1,0,1,0,1,0,339,0.0,3573,1,0,19,45.0,0,22000,9,0,1,0,0,1,0.0,2151,0,0,1,0,1,0,1,3,0,0,3559,0,1300,1,208,27,38,218400.0,1
3,0,0.0,0,0,3.0,0,22030,1,0,0,0,0,0,1,10.0,1,0,0,0,0,1,1,1358,5,0,0,0,1,0,0,0,53,1,5,1,0,3574,0,1,0,1,0,1,0,171,10.0,3574,1,0,102,40.0,0,29200,12,0,0,0,0,1,1.0,2152,0,0,1,0,1,0,1,3,0,0,3560,0,1400,1,204,458,753,205800.0,1
3,0,0.0,0,0,3.0,0,22030,1,0,0,0,0,0,1,10.0,1,0,0,0,0,1,1,1358,5,0,0,0,1,0,0,0,53,1,5,1,0,3574,0,1,0,1,0,1,0,171,10.0,3574,1,0,102,40.0,0,29200,12,0,0,0,0,1,1.0,2152,0,0,1,0,1,0,1,3,0,0,3560,0,1400,1,204,458,753,205800.0,1
3,0,9.0,0,0,36.0,0,20020,0,0,0,0,0,0,1,11.0,0,0,0,0,0,90,1,134,5,1,0,0,1,0,1,0,136,1,5,1,0,3575,0,1,0,1,0,0,0,1557,1.0,3575,1,0,28,39.0,0,27000,12,0,1,1,0,1,1.0,57,1,0,1,0,1,0,1,3,0,0,3561,0,1500,1,203,108,598,252000.0,1
3,0,9.0,0,0,36.0,0,20020,0,0,0,0,0,0,1,11.0,0,0,0,0,0,90,1,134,5,1,0,0,1,0,1,0,136,1,5,1,0,3575,0,1,0,1,0,0,0,1557,1.0,3575,1,0,28,39.0,0,27000,12,0,1,1,0,1,1.0,57,1,0,1,0,1,0,1,3,0,0,3561,0,1500,1,203,108,598,252000.0,1
3,0,5.0,0,1,8.0,0,20020,0,0,0,0,0,0,1,5.0,0,0,0,0,0,1,1,1359,5,0,0,0,1,0,0,0,274,1,29,1,0,3576,0,0,0,1,0,1,0,0,5.0,3576,1,0,160,40.0,0,30000,15,0,0,0,0,2,2.0,1618,0,0,1,0,1,0,1,2,0,0,3562,0,1000,1,103,5,754,161000.0,1
3,0,5.0,0,0,8.0,0,22010,0,0,0,1,0,0,1,7.0,0,0,0,0,0,0,1,12,5,0,0,0,1,0,0,0,274,1,29,1,0,3577,0,2,0,1,0,1,0,0,5.0,3577,1,0,160,40.0,0,30000,15,0,1,0,0,5,3.0,20,0,0,1,0,1,0,1,3,0,0,3563,0,1050,1,103,149,754,165375.0,1
3,0,4.0,0,0,8.0,0,20020,0,0,1,0,0,0,0,1.0,0,0,0,1,0,281,0,12,3,0,1,0,1,0,0,0,134,1,3,1,0,3578,0,1,0,1,0,1,0,1231,6.0,3578,1,1,148,47.0,0,27000,27,0,0,0,0,1,1.0,2153,0,0,1,0,1,0,1,3,0,0,3564,0,1300,1,203,366,561,235200.0,1
3,0,4.0,0,0,8.0,0,20020,0,0,1,0,0,0,0,1.0,0,0,0,1,0,281,0,12,3,0,1,0,1,0,0,0,134,1,3,1,0,3578,0,1,0,1,0,1,0,1231,6.0,3578,1,1,148,47.0,0,27000,27,0,0,0,0,1,1.0,2153,0,0,1,0,1,0,1,3,0,0,3564,0,1300,1,203,366,561,235200.0,1
3,0,5.0,0,0,8.0,0,20020,1,0,0,0,0,0,1,6.0,1,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,51,0,3,1,0,3579,0,1,0,1,0,1,0,14,5.0,3579,1,0,67,40.0,1,27002,27,0,0,0,0,1,1.0,2154,0,0,1,0,1,0,1,3,0,0,3565,0,1430,1,128,4,470,210210.0,1
3,0,0.0,0,0,4.0,0,20030,0,0,0,0,0,0,1,7.0,0,0,0,0,0,1,3,1360,5,0,0,0,1,0,0,0,145,1,3,1,0,3580,0,1,0,1,0,0,0,1558,10.0,3580,1,0,94,32.0,0,29200,27,0,1,1,0,5,1.0,20,0,0,1,0,1,0,1,3,0,0,3566,0,1300,1,227,299,467,204750.0,1
2,0,3.0,0,0,3.0,0,22030,1,0,0,0,0,0,1,12.0,0,0,0,0,0,1,0,1361,5,0,0,0,1,0,0,0,210,1,10,1,0,3581,0,2,0,1,0,1,0,1559,7.0,3581,1,0,26,47.0,0,29200,11,0,0,0,0,2,1.0,2155,0,0,1,0,1,0,1,3,0,0,3567,0,1200,1,203,12,755,163800.0,1
2,0,3.0,0,0,3.0,0,22030,1,0,0,0,0,0,1,12.0,0,0,0,0,0,1,0,1361,5,0,0,0,1,0,0,0,210,1,10,1,0,3581,0,2,0,1,0,1,0,1559,7.0,3581,1,0,26,47.0,0,29200,11,0,0,0,0,2,1.0,2155,0,0,1,0,1,0,1,3,0,0,3567,0,1200,1,203,12,755,163800.0,1
3,0,5.0,1,0,8.0,0,20030,0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0,666,5,0,0,0,1,0,0,0,51,1,3,1,0,3582,0,2,0,1,0,1,0,98,5.0,3582,1,0,57,40.0,0,22000,27,0,0,0,0,4,1.0,20,0,0,1,0,1,0,1,3,0,0,3568,0,1470,1,128,5,391,235200.0,1
